FID,OBJECTID,ESDCode,ESD,ESDName,NAME,DistrictNa,Labels,CODE,CCDDD,CC,DDD,County,AddressLin,AddressL_1,City,State,Zipcode,Administra,Phone,Email,UNSD,SDLEA,Region,OrgId,DistrictId,WEBSITE,SHAPE_Leng,DistrictCode,DistrictName,DistrictOrganizationId,FREQUENCY,SUM_All_Students,SUM_Female,SUM_Gender_X,SUM_Male,SUM_American_Indian__Alaskan_Native,SUM_Asian,SUM_Black__African_American,SUM_Hispanic__Latino_of_any_race_s_,SUM_Native_Hawaiian__Other_Pacific_Islander,SUM_Two_or_More_Races,SUM_White,SUM_English_Language_Learners,SUM_Foster_Care,SUM_Homeless,SUM_Low_Income,SUM_Migrant,SUM_Military_Parent,SUM_Mobile,SUM_Section_504,SUM_Students_with_Disabilities,SUM_Non_English_Language_Learners,SUM_Non_Foster_Care,SUM_Non_Homeless,SUM_Non_Low_Income,SUM_Non_Migrant,SUM_Non_Military_Parent,SUM_Non_Mobile,SUM_Non_Section_504,SUM_Students_without_Disabilities,SHAPE_Length,SHAPE_Area
256,256,34801,113,Capital Region ESD 113,TENINO,TENINO SCHOOL DISTRICT,Tenino,34402,34402,34,402,Thurston,PO BOX 4024, ,TENINO,Washington,98589-4024,Joseph  Belmonte,(360)264-3400,belmontej@tenino.k12.wa.us,8820,8820,1,264,263,https://www.teninosd.org/,375924.4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167480.4178,3069948642
257,257,39801,105,Educational Service District 105,THORP,THORP SCHOOL DISTRICT,Thorp,19400,19400,19,400,Kittitas,PO BOX 150, ,THORP,Washington,98946-0150,Andrew  Perkins,(509)964-2107,perkinsa@THORPSCHOOLS.ORG,8850,8850,4,265,264,http://www.thorpschools.org/,533562.5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238648.5001,5599582773
258,258,34801,113,Capital Region ESD 113,TOLEDO,TOLEDO SCHOOL DISTRICT,Toledo,21237,21237,21,237,Lewis,PO BOX 469, ,TOLEDO,Washington,98591-0469,Chris  Rust,(360)864-6325,crust@toledoschools.us,8910,8910,1,266,265,http://www.toledoschools.us/,359332.7804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158880.5114,3630209073
259,259,4801,171,North Central Educational Service District 171,TONASKET,TONASKET SCHOOL DISTRICT,Tonasket,24404,24404,24,404,Okanogan,35 DO HIGHWAY 20 EAST, ,TONASKET,Washington,98855-9601,Steven  McCullough,(509)486-2126,smccullough@tonasket.wednet.edu,8940,8940,4,267,266,http://www.tonasket.wednet.edu,1176716.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543017.6809,34951105172
260,260,39801,105,Educational Service District 105,TOPPENISH,TOPPENISH SCHOOL DISTRICT,Toppenish,39202,39202,39,202,Yakima,306 BOLIN DR, ,TOPPENISH,Washington,98948-1644,John M. Cerna,(509)865-8155,jcerna@toppenish.wednet.edu,8970,8970,4,268,267,http://www.toppenish.wednet.edu,564111.6049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248807.4608,7481875174
261,261,11801,123,Educational Service District 123,TOUCHET,TOUCHET SCHOOL DISTRICT,Touchet,36300,36300,36,300,Walla Walla,P.O. Box 135, ,TOUCHET,Washington,99360-9533,Susan H Bell,(509)394-2352,sbell@touchet.k12.wa.us,9000,9000,4,269,268,http://www.touchet.k12.wa.us/,360681.2918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158618.1217,6044273385
262,262,6801,112,Educational Service District 112,TOUTLE LAKE,TOUTLE LAKE SCHOOL DISTRICT,Toutle Lake,8130,8130,8,130,Cowlitz,5050 SPIRIT LAKE HWY, ,TOUTLE,Washington,98649-9701,Bob  Garrett,(360)274-6182,bgarrett@toutlesd.org,9030,9030,1,270,269,https://www.toutlesd.org/,433619.6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191240.9774,6399955016
263,263,6801,112,Educational Service District 112,TROUT LAKE,TROUT LAKE SCHOOL DISTRICT,Trout Lake,20400,20400,20,400,Klickitat,PO Box 488, ,TROUT LAKE,Washington,98650-9735,Doug  Dearden,(509)395-2571,d.dearden@tlschool.net,9060,9060,1,271,270,http://www.troutlake.k12.wa.us/,200904.9791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88111.7857,2332901827
264,264,34801,113,Capital Region ESD 113,TUMWATER,TUMWATER SCHOOL DISTRICT,Tumwater,34033,34033,34,33,Thurston,621 LINWOOD AVE SW, ,TUMWATER,Washington,98512-8499,John D Bash,(360)709-7000,john.bash@tumwater.k12.wa.us,9100,9100,1,273,271,http://www.tumwater.k12.wa.us/,406515.6459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181437.1677,3215923125
265,265,39801,105,Educational Service District 105,UNION GAP,UNION GAP SCHOOL DISTRICT,Union Gap,39002,39002,39,2,Yakima,3201 South 4th Street, ,UNION GAP,Washington,98903-1894,Lisa  Gredvig,(509)248-3966,lgredvig@uniongap.org,9150,9150,4,274,272,http://www.uniongapschool.org/,77731.73885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34456.23246,144307853.2
266,266,17801,121,Puget Sound Educational Service District 121,UNIVERSITY PLACE,UNIVERSITY PLACE SCHOOL DISTRICT,University Place,27083,27083,27,83,Pierce,3717 GRANDVIEW DR W, ,UNIVERSITY PLACE,Washington,98466-2138,Jeff  Chamberlin,(253)566-5600,jchamberlin@upsd83.org,9180,9180,2,275,273,http://www.upsd.wednet.edu,95938.63908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43040.59085,269732515.3
267,267,32801,101,Educational Service District 101,VALLEY,VALLEY SCHOOL DISTRICT,Valley,33070,33070,33,70,Stevens,3030 Huffman Road, ,VALLEY,Washington,99181,Ben  Ferney,(509)937-2791,ben.ferney@valleysd.org,9240,9240,5,277,274,http://www.valleysd.org/,353570.8815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161479.2921,3211274988
268,268,6801,112,Educational Service District 112,VANCOUVER,VANCOUVER SCHOOL DISTRICT,Vancouver,6037,6037,6,37,Clark,PO BOX 8937, ,VANCOUVER,Washington,98661-5683,Steven T Webb,(360)313-1200,steven.webb@vansd.org,9270,9270,1,278,275,http://www.vansd.org/,221020.9346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96410.90346,1708003554
269,269,17801,121,Puget Sound Educational Service District 121,VASHON ISLAND,VASHON ISLAND SCHOOL DISTRICT,Vashon Is.,17402,17402,17,402,King,P O Box 547, ,VASHON,Washington,98070-0547,Slade  McSheehy,(206)463-8535,smcsheehy@vashonsd.org,9300,9300,2,279,276,http://www.vashonsd.org/,208525.5262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93961.63224,2294897617
270,270,6801,112,Educational Service District 112,WAHKIAKUM,WAHKIAKUM SCHOOL DISTRICT,Wahkiakum,35200,35200,35,200,Wahkiakum,PO BOX 398, ,CATHLAMET,Washington,98612-0398,Brent  Freeman,(360)795-3971,bfreeman@wahksd.k12.wa.us,9330,9330,1,280,277,http://wahksd.k12.wa.us/,346999.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153016.9226,5975481946
271,271,39801,105,Educational Service District 105,WAHLUKE,WAHLUKE SCHOOL DISTRICT,Wahluke,13073,13073,13,73,Grant,PO BOX 907, ,MATTAWA,Washington,99349-0952,Robert  Eckert,(509)932-4565,reckert@wahluke.net,9360,9360,4,281,278,http://www.wsd73.wednet.edu/,433797.2429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192746.5176,7262975683
272,272,11801,123,Educational Service District 123,WAITSBURG,WAITSBURG SCHOOL DISTRICT,Waitsburg,36401,36401,36,401,Walla Walla,PO BOX 217, ,WAITSBURG,Washington,99361-0217,Jon  Mishra,(509)337-6301,jmishra@waitsburgsd.org,9390,9390,4,282,279,http://www.waitsburgsd.org/,502449.1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221590.5539,4332938101
273,273,11801,123,Educational Service District 123,WALLA WALLA,WALLA WALLA PUBLIC SCHOOLS,Walla Walla,36140,36140,36,140,Walla Walla,364 S PARK ST, ,WALLA WALLA,Washington,99362-3249,WADE  SMITH,(509)526-6715,wsmith@wwps.org,9450,9450,4,283,280,http://www.wwps.org,575573.5921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252921.6995,7519141909
274,274,39801,105,Educational Service District 105,WAPATO,WAPATO SCHOOL DISTRICT,Wapato,39207,39207,39,207,Yakima,212 W 3RD ST,P O BOX 38,WAPATO,Washington,98951-1308,Becky  Imler,(509)877-4181,BeckyI@wapatosd.org,9480,9480,4,284,281,http://www.wapatosd.org,490941.1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217135.5404,4883358131
275,275,4801,171,North Central Educational Service District 171,WARDEN,WARDEN SCHOOL DISTRICT,Warden,13146,13146,13,146,Grant,101 W BECK WAY, ,WARDEN,Washington,98857-9401,David   LaBounty,(509)349-2366,dlabounty@warden.wednet.edu,9510,9510,4,285,282,http://www.warden.wednet.edu,444288.7556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198624.3972,4630938018
276,276,6801,112,Educational Service District 112,WASHOUGAL,WASHOUGAL SCHOOL DISTRICT,Washougal,6112,6112,6,112,Clark,4855 Evergreen Way, ,WASHOUGAL,Washington,98671-9176,Mary  Templeton,(360)954-3005,mary.templeton@washougalsd.org,9540,9540,1,286,283,http://www.washougal.k12.wa.us,829806.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363870.5617,10274167305
277,277,32801,101,Educational Service District 101,WASHTUCNA,WASHTUCNA SCHOOL DISTRICT,Washtucna,1109,1109,1,109,Adams,730 East Booth Avenue, ,WASHTUCNA,Washington,99371-0688,Vance  Wing,(509)646-3237 Ext.123,vwing@tucna.wednet.edu,9570,9570,5,287,284,https://www.tucna.wednet.edu/,410456.3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182739.0435,5390230771
278,278,4801,171,North Central Educational Service District 171,WATERVILLE,WATERVILLE SCHOOL DISTRICT,Waterville,9209,9209,9,209,Douglas,PO BOX 490, ,WATERVILLE,Washington,98858-0490,Tabatha  Mires,(509)888-5591,tmires@waterville.wednet.edu,9600,9600,4,288,285,http://www.waterville.wednet.edu,640956.3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289713.0434,12923109930
279,279,32801,101,Educational Service District 101,WELLPINIT,WELLPINIT SCHOOL DISTRICT,Wellpinit,33049,33049,33,49,Stevens,PO BOX 390, ,WELLPINIT,Washington,99040-9700,John  Adkins,(509)258-4535,jadkins@wellpinit.org,9630,9630,5,289,286,http://www.wellpinit.wednet.edu/,296555.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134766.5484,3851366753
280,280,4801,171,North Central Educational Service District 171,WENATCHEE,WENATCHEE SCHOOL DISTRICT,Wenatchee,4246,4246,4,246,Chelan,PO BOX 1767, ,WENATCHEE,Washington,98801-1999,Brian  Flones,(509)663-8161,flones.b@wenatcheeschools.org,9660,9660,4,290,287,https://www.wenatcheeschools.org/,552235.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248673.938,7132807265
281,281,32801,101,Educational Service District 101,WEST VALLEY (SPOKANE),WEST VALLEY SCHOOL DISTRICT (SPOKANE),West Valley,32363,32363,32,363,Spokane,PO BOX 11739, ,SPOKANE,Washington,99212-2245,Gene  Sementi,(509)924-2150,Gene.Sementi@wvsd.org,9690,9690,5,291,288,http://www.wvsd.com,164745.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74593.13973,517091626.1
282,282,39801,105,Educational Service District 105,WEST VALLEY (YAKIMA),WEST VALLEY SCHOOL DISTRICT (YAKIMA),West Valley,39208,39208,39,208,Yakima,8902 ZIER RD, ,YAKIMA,Washington,98908-9240,MICHAEL LEE BROPHY,(509)972-6005,brophym@wvsd208.org,9720,9720,4,292,289,http://www.wvsd208.org,588519.1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260549.0375,7561124460
283,283,34801,113,Capital Region ESD 113,WHITE PASS,WHITE PASS SCHOOL DISTRICT,White Pass,21303,21303,21,303,Lewis,PO BOX 188, ,RANDLE,Washington,98377-9208,Paul  Farris,(360)497-3791,pfarris@whitepass.k12.wa.us,9750,9750,1,293,290,http://www.whitepass.k12.wa.us,819948.8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363278.8195,25352981987
284,284,17801,121,Puget Sound Educational Service District 121,WHITE RIVER,WHITE RIVER SCHOOL DISTRICT,White River,27416,27416,27,416,Pierce,PO BOX 2050, ,BUCKLEY,Washington,98321-2050,Janel  Keating,(360)829-3814,jkeating@whiteriver.wednet.edu,9780,9780,2,294,291,http://www.whiteriver.wednet.edu,674666.9596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301790.1395,11337280060
285,285,6801,112,Educational Service District 112,WHITE SALMON VALLEY,WHITE SALMON VALLEY SCHOOL DISTRICT,White Salmon Valley,20405,20405,20,405,Klickitat,PO BOX 157, ,WHITE SALMON,Washington,98672-0157,Jerry A Lewis,(509)493-1500,jerry.lewis@whitesalmonschools.org,9810,9810,1,295,292,http://www.whitesalmonschools.org/,305378.4428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133510.4134,4695727620
286,286,32801,101,Educational Service District 101,WILBUR,WILBUR SCHOOL DISTRICT,Wilbur,22200,22200,22,200,Lincoln,PO BOX 1090, ,WILBUR,Washington,99185-1090,Charles R Wyborney,(509)647-2221,cwyborney@wilbur.wednet.edu,9840,9840,5,296,293,http://www.wilbur.wednet.edu,523738.8646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237385.9931,8713695896
287,287,34801,113,Capital Region ESD 113,WILLAPA VALLEY,WILLAPA VALLEY SCHOOL DISTRICT,Willapa Valley,25160,25160,25,160,Pacific,PO BOX 128, ,MENLO,Washington,98561-9998,Nancy  Morris,(360)942-5855,nancym@willapavalley.org,9870,9870,1,297,294,https://www.willapavalley.org/,456397.7114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202365.431,8067273042
288,288,4801,171,North Central Educational Service District 171,WILSON CREEK,WILSON CREEK SCHOOL DISTRICT,Wilson Creek,13167,13167,13,167,Grant,PO BOX 46, ,WILSON CREEK,Washington,98860-0046,Laura M Christian,(509)345-2541,lchristian@wilsoncreek.org,9900,9900,4,298,295,http://www.wilsoncreek.org,532464.1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239804.9358,7351288044
289,289,34801,113,Capital Region ESD 113,WINLOCK,WINLOCK SCHOOL DISTRICT,Winlock,21232,21232,21,232,Lewis,311 NW FIR ST, ,WINLOCK,Washington,98596-9417,Richard  Serns,(360)785-3582,rserns@winlock.wednet.edu,9930,9930,1,299,296,http://www.winlockschools.org/,244240.3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108136.7136,1417122234
290,290,34801,113,Capital Region ESD 113,WISHKAH VALLEY,WISHKAH VALLEY SCHOOL DISTRICT,Wishkah Valley,14117,14117,14,117,Grays Harbor,4640 Wishkah Road, ,ABERDEEN,Washington,98520-9626,Wally  Lis,(360)532-3128,wlis@wishkah.org,9990,9990,1,300,297,http://www.wishkah.org,275433.1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123641.082,3097608592
291,291,6801,112,Educational Service District 112,WISHRAM,WISHRAM SCHOOL DISTRICT,Wishram,20094,20094,20,94,Klickitat,PO BOX 8, ,WISHRAM,Washington,98673-0008,Mike  Roberts,(509)748-2551,mike.roberts@wishramschool.org,10020,10020,1,301,298,https://www.wishramschool.org/,142286.0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62009.99629,744134408.1
292,292,6801,112,Educational Service District 112,WOODLAND,WOODLAND SCHOOL DISTRICT,Woodland,8404,8404,8,404,Cowlitz,800 3RD ST, ,WOODLAND,Washington,98674-8467,Michael Z. Green,(360)841-2705,greenm@woodlandschools.org,10050,10050,1,302,299,http://www.woodlandschools.org/,513467.7442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225247.521,5589628980
293,293,39801,105,Educational Service District 105,YAKIMA,YAKIMA SCHOOL DISTRICT,Yakima,39007,39007,39,7,Yakima,104 N 4TH AVE, ,YAKIMA,Washington,98902-2636,Jack  Irion,(509)573-7001,irion.jack@yakimaschools.org,10110,10110,4,303,300,http://www.yakimaschools.org,156708.6499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69489.24393,661483537.3
294,294,34801,113,Capital Region ESD 113,YELM,YELM SCHOOL DISTRICT,Yelm,34002,34002,34,2,Thurston,PO BOX 476, ,YELM,Washington,98597-0476,BRIAN  WHARTON,(360)458-1900,BRIAN_WHARTON@YCS.WEDNET.EDU,10140,10140,1,304,301,http://www.ycs.wednet.edu,564240.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251515.345,5520081939
295,295,39801,105,Educational Service District 105,ZILLAH,ZILLAH SCHOOL DISTRICT,Zillah,39205,39205,39,205,Yakima,213 4TH AVE, ,ZILLAH,Washington,98953-9533,Doug  Burge,(509)829-5911,doug.burge@zillahschools.org,10170,10170,4,305,302,http://www.zillahschools.org,194632.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86116.05534,1234079615
